iter,f1_macro,f1_micro
0,0.44305,0.49408
50,0.51783,0.56459
100,0.57307,0.61697
150,0.61309,0.65313
200,0.64282,0.67725
250,0.66964,0.69748
300,0.69119,0.71322
350,0.70987,0.72689
400,0.72589,0.739
450,0.74171,0.75128
500,0.7533,0.76073
550,0.76274,0.76868
600,0.76861,0.77377
650,0.7747,0.77896
700,0.78039,0.78398
750,0.78423,0.78746
800,0.78785,0.79077
850,0.78963,0.79247
900,0.79188,0.79452
950,0.79371,0.79626
1000,0.79564,0.79808
1050,0.79671,0.79909
1100,0.79785,0.8002
1150,0.79975,0.80195
1200,0.80073,0.80287
1250,0.80176,0.80387
1300,0.80242,0.80455
1350,0.80351,0.8056
1400,0.80439,0.80641
1450,0.80537,0.80733
1500,0.80627,0.80818
1550,0.80677,0.80872
1600,0.80722,0.80912
1650,0.80808,0.80992
1700,0.80856,0.81041
1750,0.80931,0.81112
1800,0.80951,0.81136
1850,0.81024,0.81203
1900,0.81086,0.81262
1950,0.81148,0.81322
2000,0.81198,0.81371
2050,0.81236,0.81409
2100,0.81312,0.8148
2150,0.81364,0.81529
2200,0.81423,0.81584
2250,0.81446,0.81609
2300,0.81489,0.81652
